H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State,id,year,District,Party,Total_YEA,Total_NAY
,Clay,,,,Coffman,,,,Duncan (TN),"Green, Gene",,,Forbes,Garamendi,,,Clay,,,,Cleaver,,,,Gabbard,Ferguson,,,Flores,Fudge,,,Fortenberry,Gabbard,,,Cramer,,,,Conaway,,,,Estes (KS),Gonzalez (TX),,,Faso,Gonzalez (TX),,,Cole,,,,Cole,,,"Representative Cicilline, David N.",Rhode Island,12117,House: 2011-Present,1,Democratic,,
,Cleaver,,,,Cohen,,,,Ellison,Gutirrez,,,Fortenberry,Graham,,,Cleaver,,,,Clyburn,,,,Gallego,Fitzpatrick,,,Fortenberry,Gabbard,,,Foxx,Gallego,,,Crist,,,,Connolly,,,,Faso,"Green, Gene",,,Ferguson,Gottheimer,,,Collins (GA),,,,Collins (GA),,,"Representative Cisneros, Gilbert Ray, Jr.",California,12119,House: 2019-Present,39,Democratic,0,0
,Clyburn,,,,Cole,,,,Ellmers (NC),Hahn,,,Foxx,Grayson,,,Clyburn,,,,Coffman,,,,Garamendi,Fleischmann,,,Foxx,Gallego,,,Frelinghuysen,Garamendi,,,Crowley,,,,Cook,,,,Ferguson,Hanabusa,,,Fitzpatrick,"Green, Gene",,,Collins (NY),,,,Collins (NY),,,"Representative Clark, Katherine M.",Massachusetts,12121,House: 2013-Present,5,Democratic,,
,Coffman,,,,Collins (NY),,,,Emmer (MN),Heck (WA),,,Franks (AZ),"Green, Al",,,Coffman,,,,Cohen,,,,Gomez,Flores,,,Frelinghuysen,Garamendi,,,Gaetz,Gomez,,,Cuellar,,,,Cooper,,,,Fitzpatrick,Hastings,,,Fleischmann,Hanabusa,,,Comer,,,,Comer,,,"Representative Clarke, Yvette D.",New York,12123,House: 2007-Present,9,Democratic,,
,Cohen,,,,Comstock,,,,Farenthold,Honda,,,Frelinghuysen,"Green, Gene",,,Cohen,,,,Cole,,,,Gonzalez (TX),Fortenberry,,,Gaetz,Gomez,,,Garrett,Gonzalez (TX),,,Curbelo (FL),,,,Correa,,,,Fleischmann,Heck,,,Flores,Hastings,,,Comstock,,,,Comstock,,,"Representative Clay, Wm. Lacy",Missouri,12125,House: 2001-Present,1,Democratic,,
,Cole,,,,Conaway,,,,Fitzpatrick,Hoyer,,,Garrett,Gutirrez,,,Cole,,,,Collins (NY),,,,Gottheimer,Foxx,,,Garrett,Gonzalez (TX),,,Gianforte,Gottheimer,,,Curtis,,,,Costa,,,,Flores,Higgins (NY),,,Fortenberry,Heck,,,Conaway,,,,Conaway,,,"Representative Cleaver, Emanuel",Missouri,12127,House: 2005-Present,5,Democratic,,
,Collins (GA),,,,Connolly,,,,Fleischmann,Huffman,,,Gibbs,Hahn,,,Collins (GA),,,,Comer,,,,"Green, Al",Frelinghuysen,,,Gianforte,"Green, Al",,,Gibbs,"Green, Al",,,Davis (CA),,,,Costello (PA),,,,Fortenberry,Himes,,,Foxx,Higgins (NY),,,Connolly,,,,Connolly,,,"Representative Cline, Ben",Virginia,12129,House: 2019-Present,6,Republican,0,0
,Collins (NY),,,,Conyers,,,,Fleming,Israel,,,Gibson,Heck (WA),,,Collins (NY),,,,Comstock,,,,"Green, Gene",Gaetz,,,Gibbs,"Green, Gene",,,Gohmert,"Green, Gene",,,"Davis, Rodney",,,,Courtney,,,,Foxx,Hoyer,,,Frelinghuysen,Himes,,,Cook,,,,Cook,,,"Representative Cloud, Michael",Texas,12131,House: 2018-Present,27,Republican,,
,Comstock,,,,Cook,,,,Flores,Jackson Lee,,,Gohmert,Higgins,,,Comstock,,,,Conaway,,,,Grijalva,Gallagher,,,Gohmert,Grijalva,,,Goodlatte,Grijalva,,,DeFazio,,,,Cramer,,,,Frelinghuysen,Jackson Lee,,,Gaetz,Hoyer,,,Cooper,,,,Cooper,,,"Representative Clyburn, James E.",South Carolina,12133,House: 1993-Present,6,Democratic,,
,Conaway,,,,Cooper,,,,Forbes,Jeffries,,,Goodlatte,Himes,,,Conaway,,,,Connolly,,,,Gutirrez,Garrett,,,Goodlatte,Gutirrez,,,Gosar,Gutirrez,,,DeGette,,,,Crawford,,,,Gaetz,Jeffries,,,Gallagher,Huffman,,,Correa,,,,Correa,,,"Representative Cohen, Steve",Tennessee,13001,House: 2007-Present,9,Democratic,,
,Connolly,,,,Costa,,,,Fortenberry,Johnson (GA),,,Gowdy,Hinojosa,,,Connolly,,,,Cook,,,,Hastings,Gianforte,,,Gosar,Hanabusa,,,Gowdy,Hanabusa,,,Delaney,,,,Crist,,,,Gallagher,Johnson (GA),,,Garrett,Jackson Lee,,,Costa,,,,Costa,,,"Representative Cole, Tom",Oklahoma,13003,House: 2003-Present,4,Republican,,
,Conyers,,,,Costello (PA),,,,Foxx,"Johnson, E. B.",,,Granger,Honda,,,Conyers,,,,Cooper,,,,Heck,Gibbs,,,Gottheimer,Hastings,,,Granger,Hastings,,,DeLauro,,,,Crowley,,,,Garrett,"Johnson, E. B.",,,Gianforte,Jayapal,,,Courtney,,,,Costello (PA),,,"Representative Collins, Chris",New York,13005,House: 2013-Present,27,Republican,,
,Cook,,,,Courtney,,,,Franks (AZ),Kelly (IL),,,Graves (GA),Hoyer,,,Cook,,,,Correa,,,,Higgins (NY),Gohmert,,,Gowdy,Heck,,,Graves (GA),Heck,,,DelBene,,,,Cuellar,,,,Gianforte,Kaptur,,,Gibbs,Jeffries,,,Cramer,,,,Courtney,,,"Representative Collins, Doug",Georgia,13007,House: 2013-Present,9,Republican,,
,Cooper,,,,Cramer,,,,Frelinghuysen,Kennedy,,,Graves (LA),Huffman,,,Cooper,,,,Costa,,,,Himes,Goodlatte,,,Granger,Higgins (NY),,,Graves (LA),Higgins (NY),,,Demings,,,,Culberson,,,,Gibbs,Keating,,,Gohmert,Johnson (GA),,,Crist,,,,Cramer,,,"Representative Comer, James",Kentucky,13009,House: 2016-Present,1,Republican,,
,Costa,,,,Crawford,,,,Garrett,Kildee,,,Graves (MO),Israel,,,Costa,,,,Costello (PA),,,,Hoyer,Gosar,,,Graves (GA),Himes,,,Griffith,Himes,,,Denham,,,,Cummings,,,,Gohmert,Kelly (IL),,,Goodlatte,"Johnson, E. B.",,,Crowley,,,,Crawford,,,"Representative Conaway, K. Michael",Texas,13011,House: 2005-Present,11,Republican,,
,Costello (PA),,,,Crenshaw,,,,Gibbs,Kilmer,,,Griffith,Jackson Lee,,,Costello (PA),,,,Courtney,,,,Huffman,Gowdy,,,Graves (LA),Hoyer,,,Grothman,Hoyer,,,DeSantis,,,,Curbelo (FL),,,,Goodlatte,Kennedy,,,Gosar,Kaptur,,,Cuellar,,,,Crist,,,"Representative Connolly, Gerald E.",Virginia,13013,House: 2009-Present,11,Democratic,,
,Courtney,,,,Crowley,,,,Gibson,Kind,,,Grothman,Jeffries,,,Courtney,,,,Cramer,,,,Jackson Lee,Granger,,,Griffith,Huffman,,,Guthrie,Huffman,,,DeSaulnier,,,,Curtis,,,,Gottheimer,Khanna,,,Gowdy,Keating,,,Culberson,,,,Crowley,,,"Representative Cook, Paul",California,13015,House: 2013-Present,8,Republican,,
,Cramer,,,,Cuellar,,,,Gohmert,Kirkpatrick,,,Guinta,Johnson (GA),,,Cramer,,,,Crawford,,,,Jayapal,Graves (GA),,,Grothman,Jackson Lee,,,Handel,Jackson Lee,,,DesJarlais,,,,Davidson,,,,Gowdy,Kihuen,,,Granger,Kelly (IL),,,Cummings,,,,Cuellar,,,"Representative Cooper, Jim",Tennessee,13017,"House: 1983-1995, 2003-Present",5,Democratic,,
,Crawford,,,,Culberson,,,,Goodlatte,Kuster,,,Guthrie,"Johnson, E. B.",,,Crawford,,,,Crist,,,,Jeffries,Graves (LA),,,Guthrie,Jayapal,,,Harper,Jayapal,,,Deutch,,,,Davis (CA),,,,Granger,Kildee,,,Graves (GA),Kennedy,,,Curbelo (FL),,,,Culberson,,,"Representative Correa, J. Luis",California,13019,House: 2017-Present,46,Democratic,,
,Crenshaw,,,,Cummings,,,,Gosar,Langevin,,,Hanna,Kaptur,,,Crenshaw,,,,Cuellar,,,,Johnson (GA),Graves (MO),,,Handel,Jeffries,,,Harris,Jeffries,,,Diaz-Balart,,,,"Davis, Rodney",,,,Graves (GA),Kilmer,,,Graves (LA),Khanna,,,Curtis,,,,Curbelo (FL),,,"Representative Costa, Jim",California,13021,House: 2005-Present,16,Democratic,,
,Crowley,,,,Curbelo (FL),,,,Gowdy,Larsen (WA),,,Hardy,Keating,,,Crowley,,,,Culberson,,,,"Johnson, E. B.",Griffith,,,Harper,Johnson (GA),,,Hartzler,Johnson (GA),,,Dingell,,,,DeGette,,,,Graves (LA),Kind,,,Graves (MO),Kihuen,,,Davidson,,,,Curtis,,,"Representative Courtney, Joe",Connecticut,13023,House: 2007-Present,2,Democratic,,
,Cuellar,,,,Davis (CA),,,,Granger,Larson (CT),,,Harper,Kelly (IL),,,Cuellar,,,,Cummings,,,,Kaptur,Grothman,,,Harris,Jones,,,Hensarling,Kaptur,,,Doggett,,,,Delaney,,,,Graves (MO),Krishnamoorthi,,,Griffith,Kildee,,,Davis (CA),,,,Davidson,,,"Representative Cox, TJ",California,13025,House: 2019-Present,21,Democratic,0,0
,Culberson,,,,"Davis, Danny",,,,Graves (GA),Lawrence,,,Harris,Kennedy,,,Culberson,,,,Curbelo (FL),,,,Keating,Guthrie,,,Hartzler,Kaptur,,,Herrera Beutler,Keating,,,Donovan,,,,DeLauro,,,,Griffith,Kuster (NH),,,Guthrie,Kilmer,,,"Davis, Rodney",,,,Davis (CA),,,"Representative Craig, Angie",Minnesota,13027,House: 2019-Present,2,Democratic,0,0
,Cummings,,,,"Davis, Rodney",,,,Graves (LA),Lee,,,Hartzler,Kildee,,,Cummings,,,,Curtis,,,,Kelly (IL),Handel,,,Hensarling,Keating,,,"Hice, Jody B.",Kelly (IL),,,"Doyle, Michael F.",,,,DelBene,,,,Grothman,Langevin,,,Handel,Kind,,,DeFazio,,,,"Davis, Danny",,,"Representative Crawford, Eric A. ""Rick""",Arkansas,13029,House: 2011-Present,1,Republican,,
,Curbelo (FL),,,,DeFazio,,,,Graves (MO),Levin,,,Hensarling,Kilmer,,,Curbelo (FL),,,,Davidson,,,,Kennedy,Harper,,,Herrera Beutler,Kelly (IL),,,Higgins (LA),Kennedy,,,Duffy,,,,Denham,,,,Guthrie,Larsen (WA),,,Harper,Krishnamoorthi,,,DeGette,,,,"Davis, Rodney",,,"Representative Crenshaw, Dan",Texas,13031,House: 2019-Present,2,Republican,0,0
,Davis (CA),,,,DeGette,,,,Griffith,Lewis,,,"Hice, Jody B.",Kind,,,Davis (CA),,,,Davis (CA),,,,Khanna,Harris,,,"Hice, Jody B.",Kennedy,,,Hill,Khanna,,,Duncan (SC),,,,DeSantis,,,,Handel,Larson (CT),,,Harris,Kuster (NH),,,Delaney,,,,DeFazio,,,"Representative Crist, Charlie",Florida,13033,House: 2017-Present,13,Democratic,,
,"Davis, Danny",,,,Delaney,,,,Grothman,"Lieu, Ted",,,Hill,Kirkpatrick,,,"Davis, Danny",,,,"Davis, Danny",,,,Kihuen,Hartzler,,,Higgins (LA),Khanna,,,Holding,Kihuen,,,Duncan (TN),,,,DesJarlais,,,,Harper,Lawrence,,,Hartzler,Lamb,,,DelBene,,,,DeGette,,,"Representative Crow, Jason",Colorado,13035,House: 2019-Present,6,Democratic,0,0
,"Davis, Rodney",,,,DeLauro,,,,Guinta,Lipinski,,,Holding,Kuster,,,"Davis, Rodney",,,,"Davis, Rodney",,,,Kildee,Hensarling,,,Hill,Kihuen,,,Hollingsworth,Kildee,,,Dunn,,,,Deutch,,,,Harris,Lawson (FL),,,Hensarling,Langevin,,,Demings,,,,Delaney,,,"Representative Cuellar, Henry",Texas,13037,House: 2005-Present,28,Democratic,,
,DeFazio,,,,DelBene,,,,Guthrie,Loebsack,,,Hudson,Larsen (WA),,,DeFazio,,,,DeFazio,,,,Kilmer,Herrera Beutler,,,Holding,Kildee,,,Hudson,Kilmer,,,Emmer,,,,Diaz-Balart,,,,Hartzler,Lee,,,Herrera Beutler,Larsen (WA),,,Denham,,,,DelBene,,,"Representative Cummings, Elijah E.",Maryland,13039,House: 1995-Present,7,Democratic,,
,DeGette,,,,Denham,,,,Hanna,Lofgren,,,Huizenga (MI),Lawrence,,,DeGette,,,,DeGette,,,,Kind,"Hice, Jody B.",,,Hollingsworth,Kilmer,,,Huizenga,Kind,,,Engel,,,,Dingell,,,,Hensarling,Levin,,,"Hice, Jody B.",Larson (CT),,,DeSantis,,,,Demings,,,"Representative Cunningham, Joe",South Carolina,13043,House: 2019-Present,1,Democratic,0,0
,Delaney,,,,Dent,,,,Hardy,Lowenthal,,,Hultgren,Lee,,,Delaney,,,,DeLauro,,,,Krishnamoorthi,Higgins (LA),,,Hudson,Kind,,,Hultgren,Krishnamoorthi,,,Eshoo,,,,"Doyle, Michael F.",,,,Herrera Beutler,"Lieu, Ted",,,Higgins (LA),Lawrence,,,DeSaulnier,,,,Denham,,,"Representative Curtis, John R.",Utah,13045,House: 2017-Present,3,Republican,,
,DeLauro,,,,DeSantis,,,,Harper,Lowey,,,Hunter,Levin,,,DeLauro,,,,DelBene,,,,Kuster (NH),Hill,,,Huizenga,Krishnamoorthi,,,Hunter,Kuster (NH),,,Espaillat,,,,Duffy,,,,"Hice, Jody B.",Lipinski,,,Hill,Lawson (FL),,,DesJarlais,,,,DeSaulnier,,,"Representative Davids, Sharice",Kansas,13047,House: 2019-Present,3,Democratic,0,0
,DelBene,,,,DeSaulnier,,,,Harris,Lujan Grisham (NM),,,Hurd (TX),Lewis,,,DelBene,,,,Demings,,,,Lamb,Holding,,,Hultgren,Kuster (NH),,,Hurd,Lamb,,,Estes (KS),,,,Duncan (SC),,,,Higgins (LA),Loebsack,,,Holding,Lee,,,Deutch,,,,Diaz-Balart,,,"Representative Davidson, Warren",Ohio,13049,House: 2016-Present,8,Republican,,
,Denham,,,,DesJarlais,,,,Hartzler,"Luj n, Ben Ray (NM)",,,Hurt (VA),"Lieu, Ted",,,Denham,,,,Denham,,,,Langevin,Hollingsworth,,,Hunter,Langevin,,,Issa,Langevin,,,Esty (CT),,,,Duncan (TN),,,,Hill,Lofgren,,,Hollingsworth,Levin,,,Diaz-Balart,,,,Dingell,,,"Representative Davis, Danny K.",Illinois,13051,House: 1997-Present,7,Democratic,,
,Dent,,,,Deutch,,,,Heck (NV),"Maloney, Carolyn",,,Issa,Lipinski,,,Dent,,,,DeSantis,,,,Larsen (WA),Hudson,,,Hurd,Larsen (WA),,,Jenkins (KS),Larsen (WA),,,Evans,,,,Dunn,,,,Holding,Lowenthal,,,Hudson,Lewis (GA),,,Dingell,,,,Doggett,,,"Representative Davis, Rodney",Illinois,13053,House: 2013-Present,13,Republican,,
,DeSantis,,,,Diaz-Balart,,,,Hensarling,"Maloney, Sean",,,Jenkins (KS),Loebsack,,,DeSantis,,,,DeSaulnier,,,,Larson (CT),Huizenga,,,Issa,Larson (CT),,,Jenkins (WV),Larson (CT),,,Faso,,,,Emmer,,,,Hollingsworth,Lowey,,,Huizenga,"Lieu, Ted",,,Doggett,,,,Donovan,,,"Representative Davis, Susan A.",California,13055,House: 2001-Present,53,Democratic,,
,DeSaulnier,,,,Dingell,,,,"Hice, Jody B.",Matsui,,,Johnson (OH),Lofgren,,,DeSaulnier,,,,DesJarlais,,,,Lawrence,Hultgren,,,Jenkins (KS),Lawrence,,,Johnson (LA),Lawrence,,,Ferguson,,,,Engel,,,,Hudson,"Lujan Grisham, M.",,,Hultgren,Lipinski,,,Donovan,,,,Duffy,,,"Representative Dean, Madeleine",Pennsylvania,13057,House: 2019-Present,4,Democratic,0,0
,DesJarlais,,,,Doggett,,,,Higgins,McCollum,,,"Johnson, Sam",Lowenthal,,,DesJarlais,,,,Deutch,,,,Lawson (FL),Hunter,,,Jenkins (WV),Lawson (FL),,,Johnson (OH),Lawson (FL),,,Fitzpatrick,,,,Eshoo,,,,Huizenga,"Luj n, Ben Ray",,,Hunter,Loebsack,,,"Doyle, Michael F.",,,,Duncan (SC),,,"Representative DeFazio, Peter A.",Oregon,13059,House: 1987-Present,4,Democratic,,
,Deutch,,,,Dold,,,,Hill,McDermott,,,Jolly,Lowey,,,Deutch,,,,Diaz-Balart,,,,Lee,Hurd,,,Johnson (LA),Lee,,,"Johnson, Sam",Lee,,,Fleischmann,,,,Espaillat,,,,Hultgren,Lynch,,,Hurd,Lofgren,,,Duffy,,,,Duncan (TN),,,"Representative DeGette, Diana",Colorado,13061,House: 1997-Present,1,Democratic,,
,Diaz-Balart,,,,Donovan,,,,Himes,McGovern,,,Jones,Lujan Grisham (NM),,,Diaz-Balart,,,,Dingell,,,,Levin,Issa,,,Johnson (OH),Levin,,,Jones,Levin,,,Flores,,,,Estes (KS),,,,Hunter,"Maloney, Carolyn B.",,,Issa,Lowenthal,,,Duncan (SC),,,,Dunn,,,"Representative DeLauro, Rosa L.",Connecticut,13063,House: 1991-Present,3,Democratic,,
,Dingell,,,,"Doyle, Michael F.",,,,Holding,McNerney,,,Jordan,Lynch,,,Dingell,,,,Doggett,,,,Lewis (GA),Jenkins (KS),,,"Johnson, Sam",Lewis (GA),,,Joyce (OH),Lewis (GA),,,Fortenberry,,,,Esty (CT),,,,Hurd,"Maloney, Sean",,,Jenkins (KS),Lowey,,,Dunn,,,,Ellison,,,"Representative DelBene, Suzan K.",Washington,13065,House: 2012-Present,1,Democratic,,
,Doggett,,,,Duckworth,,,,Hudson,Meeks,,,Katko,"Maloney, Carolyn",,,Doggett,,,,Donovan,,,,"Lieu, Ted",Jenkins (WV),,,Joyce (OH),"Lieu, Ted",,,Katko,"Lieu, Ted",,,Foxx,,,,Evans,,,,Issa,Matsui,,,Jenkins (WV),"Lujan Grisham, M.",,,Emmer,,,,Emmer,,,"Representative Delgado, Antonio",New York,13067,House: 2019-Present,19,Democratic,0,0
,Dold,,,,Duffy,,,,Huelskamp,Meng,,,Kelly (MS),"Maloney, Sean",,,Dold,,,,"Doyle, Michael F.",,,,Lipinski,Johnson (LA),,,Katko,Lipinski,,,Kelly (MS),Lipinski,,,Frelinghuysen,,,,Faso,,,,Jenkins (KS),McCollum,,,Johnson (LA),"Luj n, Ben Ray",,,Engel,,,,Engel,,,"Representative Demings, Val Butler",Florida,13069,House: 2017-Present,10,Democratic,,
,Donovan,,,,Duncan (SC),,,,Huizenga (MI),Moore,,,King (IA),Matsui,,,Donovan,,,,Duffy,,,,Loebsack,Johnson (OH),,,Kelly (MS),Loebsack,,,Kelly (PA),Loebsack,,,Gabbard,,,,Ferguson,,,,Jenkins (WV),McEachin,,,Johnson (OH),Lynch,,,Eshoo,,,,Eshoo,,,"Representative DeSaulnier, Mark",California,13071,House: 2015-Present,11,Democratic,,
,"Doyle, Michael F.",,,,Duncan (TN),,,,Hultgren,Nadler,,,King (NY),McCollum,,,"Doyle, Michael F.",,,,Duncan (SC),,,,Lofgren,"Johnson, Sam",,,Kelly (PA),Lofgren,,,King (IA),Lofgren,,,Gallagher,,,,Fitzpatrick,,,,Johnson (LA),McGovern,,,"Johnson, Sam","Maloney, Carolyn B.",,,Espaillat,,,,Espaillat,,,"Representative DesJarlais, Scott",Tennessee,13073,House: 2011-Present,4,Republican,,
,Duckworth,,,,Edwards,,,,Hunter,Napolitano,,,Kinzinger (IL),McDermott,,,Duffy,,,,Duncan (TN),,,,Lowenthal,Jones,,,King (IA),Lowenthal,,,King (NY),Lowenthal,,,Gallego,,,,Fleischmann,,,,Johnson (OH),McNerney,,,Jones,"Maloney, Sean",,,Esty (CT),,,,Estes (KS),,,"Representative Deutch, Theodore E.",Florida,13075,House: 2010-Present,22,Democratic,,
,Duffy,,,,Ellison,,,,Hurd (TX),Neal,,,Kline,McGovern,,,Duncan (SC),,,,Dunn,,,,Lowey,Jordan,,,King (NY),Lowey,,,Knight,Lowey,,,Garamendi,,,,Flores,,,,"Johnson, Sam",Meeks,,,Jordan,Matsui,,,Evans,,,,Esty (CT),,,"Representative Diaz-Balart, Mario",Florida,13077,House: 2003-Present,25,Republican,,
,Duncan (SC),,,,Ellmers (NC),,,,Hurt (VA),Nolan,,,Knight,McNerney,,,Duncan (TN),,,,Emmer,,,,"Lujan Grisham, M.",Joyce (OH),,,Knight,"Lujan Grisham, M.",,,Kustoff (TN),"Lujan Grisham, M.",,,Gianforte,,,,Fortenberry,,,,Jones,Meng,,,Joyce (OH),McCollum,,,Faso,,,,Evans,,,"Representative Dingell, Debbie",Michigan,13079,House: 2015-Present,12,Democratic,,
,Duncan (TN),,,,Emmer (MN),,,,Issa,Norcross,,,Labrador,Meeks,,,Edwards,,,,Engel,,,,"Luj n, Ben Ray",Katko,,,Kustoff (TN),"Luj n, Ben Ray",,,Labrador,"Luj n, Ben Ray",,,Gomez,,,,Foster,,,,Jordan,Moore,,,Katko,McEachin,,,Ferguson,,,,Faso,,,"Representative Doggett, Lloyd",Texas,13081,House: 1995-Present,35,Democratic,,
,Edwards,,,,Engel,,,,Jenkins (KS),O'Rourke,,,LaHood,Meng,,,Ellison,,,,Eshoo,,,,Lynch,Kelly (MS),,,Labrador,Lynch,,,LaHood,Lynch,,,Goodlatte,,,,Foxx,,,,Joyce (OH),Moulton,,,Kelly (MS),McGovern,,,Fitzpatrick,,,,Fitzpatrick,,,"Representative Doyle, Michael F.",Pennsylvania,13083,House: 1995-Present,18,Democratic,,
,Ellison,,,,Eshoo,,,,Jenkins (WV),Pallone,,,Lamborn,Moore,,,Ellmers (NC),,,,Espaillat,,,,"Maloney, Carolyn B.",Kelly (PA),,,LaHood,"Maloney, Carolyn B.",,,LaMalfa,"Maloney, Carolyn B.",,,Gosar,,,,Frankel (FL),,,,Katko,Murphy (FL),,,Kelly (PA),McNerney,,,Fleischmann,,,,Fleischmann,,,"Representative Duffy, Sean P.",Wisconsin,13085,House: 2011-Present,7,Republican,,
,Ellmers (NC),,,,Esty,,,,Johnson (OH),Payne,,,Lance,Moulton,,,Emmer (MN),,,,Estes (KS),,,,"Maloney, Sean",King (IA),,,LaMalfa,"Maloney, Sean",,,Lamborn,"Maloney, Sean",,,Gottheimer,,,,Frelinghuysen,,,,Kelly (MS),Nadler,,,King (IA),Meeks,,,Flores,,,,Flores,,,"Representative Duncan, Jeff",South Carolina,13087,House: 2011-Present,3,Republican,,
,Emmer (MN),,,,Farenthold,,,,"Johnson, Sam",Pelosi,,,LoBiondo,Murphy (FL),,,Engel,,,,Esty (CT),,,,Matsui,King (NY),,,Lamb,Massie,,,Lance,Matsui,,,Gowdy,,,,Gabbard,,,,Kelly (PA),Napolitano,,,King (NY),Meng,,,Fortenberry,,,,Fortenberry,,,"Representative Dunn, Neal P.",Florida,13089,House: 2017-Present,2,Republican,,
,Engel,,,,Farr,,,,Jolly,Perlmutter,,,Long,Nadler,,,Eshoo,,,,Evans,,,,McCollum,Kinzinger,,,Lamborn,Matsui,,,Latta,McCollum,,,Granger,,,,Gaetz,,,,King (IA),Neal,,,Kinzinger,Moore,,,Foster,,,,Foster,,,"Representative Emmer, Tom",Minnesota,13091,House: 2015-Present,6,Republican,,
,Eshoo,,,,Fitzpatrick,,,,Jones,Peters,,,Loudermilk,Napolitano,,,Esty,,,,Faso,,,,McEachin,Knight,,,Lance,McCollum,,,Lesko,McEachin,,,Graves (GA),,,,Gallagher,,,,King (NY),Nolan,,,Knight,Moulton,,,Foxx,,,,Foxx,,,"Representative Engel, Eliot L.",New York,13093,House: 1989-Present,16,Democratic,,
,Esty,,,,Fleischmann,,,,Jordan,Peterson,,,Love,Neal,,,Farenthold,,,,Ferguson,,,,McGovern,Kustoff (TN),,,Latta,McEachin,,,Lewis (MN),McGovern,,,Graves (LA),,,,Gallego,,,,Kinzinger,Norcross,,,Kustoff (TN),Murphy (FL),,,Frankel (FL),,,,Frankel (FL),,,"Representative Escobar, Veronica",Texas,13095,House: 2019-Present,16,Democratic,0,0
,Farenthold,,,,Fleming,,,,Kaptur,Pingree,,,Lucas,Nolan,,,Farr,,,,Fitzpatrick,,,,McNerney,Labrador,,,Lesko,McGovern,,,LoBiondo,McNerney,,,Griffith,,,,Garamendi,,,,Knight,O'Halleran,,,Labrador,Nadler,,,Frelinghuysen,,,,Frelinghuysen,,,"Representative Eshoo, Anna G.",California,13097,House: 1993-Present,18,Democratic,,
,Farr,,,,Flores,,,,Katko,Pocan,,,Luetkemeyer,Norcross,,,Fitzpatrick,,,,Fleischmann,,,,Meeks,LaHood,,,Lewis (MN),McNerney,,,Long,Meeks,,,Grijalva,,,,Garrett,,,,Kustoff (TN),O'Rourke,,,LaHood,Napolitano,,,Fudge,,,,Fudge,,,"Representative Espaillat, Adriano",New York,13099,House: 2017-Present,13,Democratic,,
,Fitzpatrick,,,,Forbes,,,,Keating,Polis,,,Lummis,O'Rourke,,,Fleischmann,,,,Flores,,,,Moore,LaMalfa,,,LoBiondo,Meeks,,,Loudermilk,Meng,,,Grothman,,,,Gianforte,,,,Labrador,Pallone,,,LaMalfa,Neal,,,Gabbard,,,,Gaetz,,,"Representative Estes, Ron",Kansas,13101,House: 2017-Present,4,Republican,,
,Fleischmann,,,,Fortenberry,,,,Kelly (MS),Price (NC),,,MacArthur,Pallone,,,Fleming,,,,Fortenberry,,,,Moulton,Lamborn,,,Long,Meng,,,Love,Moore,,,Guthrie,,,,Gibbs,,,,LaHood,Panetta,,,Lamborn,Nolan,,,Gallagher,,,,Gallagher,,,"Representative Evans, Dwight",Pennsylvania,13103,House: 2016-Present,3,Democratic,,
,Fleming,,,,Foster,,,,Kelly (PA),Quigley,,,Marchant,Pascrell,,,Flores,,,,Foster,,,,Murphy (FL),Lance,,,Loudermilk,Moore,,,Lucas,Moulton,,,Hanabusa,,,,Gohmert,,,,LaMalfa,Pascrell,,,Lance,Norcross,,,Gallego,,,,Gallego,,,"Representative Ferguson, A. Drew, IV",Georgia,13105,House: 2017-Present,3,Republican,,
,Flores,,,,Foxx,,,,King (IA),Rangel,,,Marino,Payne,,,Forbes,,,,Foxx,,,,Nadler,Latta,,,Love,Moulton,,,Luetkemeyer,Murphy (FL),,,Handel,,,,Gomez,,,,Lamb,Payne,,,Latta,O'Halleran,,,Garamendi,,,,Garamendi,,,"Representative Finkenauer, Abby",Iowa,13107,House: 2019-Present,1,Democratic,0,0
,Forbes,,,,Frankel (FL),,,,King (NY),Rice (NY),,,Massie,Pelosi,,,Fortenberry,,,,Frankel (FL),,,,Napolitano,Lesko,,,Lucas,Nadler,,,MacArthur,Nadler,,,Harper,,,,Goodlatte,,,,Lamborn,Pelosi,,,Lesko,O'Rourke,,,Gianforte,,,,Garrett,,,"Representative Fitzpatrick, Brian K.",Pennsylvania,13109,House: 2017-Present,1,Republican,,
,Fortenberry,,,,Frelinghuysen,,,,Kinzinger (IL),Richmond,,,McCarthy,Perlmutter,,,Foster,,,,Frelinghuysen,,,,Neal,Lewis (MN),,,Luetkemeyer,Napolitano,,,Marchant,Napolitano,,,Harris,,,,Gosar,,,,Lance,Perlmutter,,,Lewis (MN),Pallone,,,Gibbs,,,,Gianforte,,,"Representative Fleischmann, Charles J. ""Chuck""",Tennessee,13111,House: 2011-Present,3,Republican,,
